"team";"week";"name";"pass";"x";"y";"season";"away_team";"away_score";"home_team";"home_score";"color";"size"
"TB";2;"Tom Brady";"INTERCEPTION";-11.54842393;17.33506098;2020;"CAR";17;"TB";31;1;1
"TB";2;"Tom Brady";"INCOMPLETE";9.039745426;4.067842506;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";-14.05816586;4.572420635;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";22.43802761;21.39579566;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";-25.24667348;26.08835288;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";0.812988148;5.789135514;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";3.933985825;7.098135965;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";-6.157699198;-0.431515957;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";6.446949416;11.50728155;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";22.27650043;14.1861182;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";6.875224881;3.988820528;2020;"CAR";17;"TB";31;2;2
"TB";2;"Tom Brady";"INCOMPLETE";21.17390711;25.4389881;2020;"CAR";17;"TB";31;2;2
"TB";4;"Tom Brady";"COMPLETE";-13.10174711;0.314305986;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";17.16533963;23.62454348;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";6.336864975;15.10035582;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-22.20644385;13.74722503;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";14.94033238;7.601069983;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";17.96411156;43.02476959;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-1.02819636;5.261931736;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-9.956473879;3.803773661;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";22.12310286;36.17546229;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-13.61583398;6.835666896;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";11.88356717;-1.884985313;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-6.892147167;5.183035714;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-13.68965085;-4.381733888;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";3.83210157;18.0026582;2020;"LAC";31;"TB";38;3;3
"TB";4;"Tom Brady";"COMPLETE";-9.254336746;-2.045559939;2020;"LAC";31;"TB";38;3;3
